iter	RMSE
316	2.180410977
317	2.18029325
318	2.180182058
319	2.180118283
320	2.180063735
321	2.179954166
322	2.179852652
323	2.179698679
324	2.179597154
325	2.179415471
326	2.17931253
327	2.179225593
328	2.179125682
329	2.178996432
330	2.178907964
331	2.178765027
332	2.178702263
333	2.178634938
334	2.178467203
335	2.178406417
336	2.178300623
337	2.178170156
338	2.178053828
339	2.177901247
340	2.177800222
341	2.177665633
342	2.177550447
343	2.177483555
344	2.177348243
345	2.177192923
346	2.177129061
347	2.176957349
348	2.176852888
349	2.176705722
350	2.176550005
351	2.176396968
352	2.176293183
353	2.176232102
354	2.176108884
355	2.176014563
356	2.175825325
357	2.175671886
358	2.175541378
359	2.175458036
360	2.175331964
361	2.175189261
362	2.175056734
363	2.174954172
364	2.174866124
365	2.174714608
366	2.174606644
367	2.174468109
368	2.174332493
369	2.1742306
370	2.174154001
371	2.174031953
372	2.173941525
373	2.173812905
374	2.173668344
375	2.173558336
376	2.173416336
377	2.173329398
378	2.173207304
379	2.173115904
380	2.172972235
381	2.172875551
382	2.17276773
383	2.172614895
384	2.172500966
385	2.172366517
386	2.17224472
387	2.172144721
388	2.171965581
389	2.171889606
390	2.171713727
391	2.171600219
392	2.171497025
393	2.171349144
394	2.17126529
395	2.171145659
396	2.171056988
397	2.170933475
398	2.170796348
399	2.170631761
400	2.17051233
401	2.170411079
402	2.17028706
403	2.17017559
404	2.17012173
405	2.169994761
406	2.169795257
407	2.169695733
408	2.169629772
409	2.169487985
410	2.16941474
411	2.169320481
412	2.169240656
413	2.169150146
414	2.16905611
415	2.168980033
416	2.168892095
417	2.168782549
418	2.168683683
419	2.168578236
420	2.168467383
421	2.168396687
422	2.168359694
423	2.168228277
424	2.168098378
425	2.168026496
426	2.16793476
427	2.167802495
428	2.167714391
429	2.167616886
430	2.167526191
431	2.167421393
432	2.16730766
433	2.167184169
434	2.167072656
435	2.166964311
436	2.166878172
437	2.166816238
438	2.166717753
439	2.166606451
440	2.166483508
441	2.166388416
442	2.166246063
443	2.166167889
444	2.166013884
445	2.165937347
446	2.16588785
447	2.165826476
448	2.165642227
449	2.165538749
450	2.165415157
451	2.165313197
452	2.165233342
453	2.165118906
454	2.16501658
455	2.164948124
456	2.164869197
457	2.164764623
458	2.164624988
459	2.164500755
460	2.164431224
461	2.164347572
462	2.164287685
463	2.164219088
464	2.164160844
465	2.164073534
466	2.163995281
467	2.163916437
468	2.16380252
469	2.163702014
470	2.163601504
471	2.163568548
472	2.163478742
473	2.163365391
474	2.163261922
475	2.163173634
476	2.163098762
477	2.163040841
478	2.162955016
479	2.162889674
480	2.162802666
481	2.162752155
482	2.162694578
483	2.162630405
484	2.162582245
485	2.162499228
486	2.162422332
487	2.162352027
488	2.162265704
489	2.16218503
490	2.162138156
491	2.162071729
492	2.161976443
493	2.161929681
494	2.161828382
495	2.161777612
496	2.16168785
497	2.161580413
498	2.161545777
499	2.161384373
500	2.161330883
501	2.161269734
502	2.161191497
503	2.161067539
504	2.160976333
505	2.160861789
506	2.160751954
507	2.160659792
508	2.160582241
509	2.1605404
510	2.160445046
511	2.160367958
512	2.160289336
513	2.160251968
514	2.160149293
515	2.160056162
516	2.159951355
517	2.159823788
518	2.159755404
519	2.159692323
520	2.1595908
521	2.159510027
522	2.159463802
523	2.159424415
524	2.159352598
525	2.159288444
526	2.159220396
527	2.159178175
528	2.159091371
529	2.159046906
530	2.158916219
531	2.158841436
532	2.158749546
533	2.158677117
534	2.158616718
535	2.158521515
536	2.158403066
537	2.158335699
538	2.158258772
539	2.15815494
540	2.158064908
541	2.157995052
542	2.157911269
543	2.157837985
544	2.157741214
545	2.15765388
546	2.157594632
547	2.157534203
548	2.157444618
549	2.157369548
550	2.157298017
551	2.157182216
552	2.157161085
553	2.157084234
554	2.157012221
555	2.156908211
556	2.156793688
557	2.156683764
558	2.156640076
559	2.156594616
560	2.156547029
561	2.156483618
562	2.156396234
563	2.15636057
564	2.15628251
565	2.156203738
566	2.15611646
567	2.156053391
568	2.155985359
569	2.155940712
570	2.155839367
571	2.155795544
572	2.155739081
573	2.15565391
574	2.155565074
575	2.155433349
576	2.155379239
577	2.155303742
578	2.155247975
579	2.155155695
580	2.155095316
581	2.155022645
582	2.154918067
583	2.154849526
584	2.154806274
585	2.154697785
586	2.154652047
587	2.154520739
588	2.154479726
589	2.154413181
590	2.154316847
591	2.154285522
592	2.154246751
593	2.154160812
594	2.154053827
595	2.153951565
596	2.153876255
597	2.153786045
598	2.153653502
599	2.153586695
600	2.15350073
601	2.153435219
602	2.153361547
603	2.153275809
604	2.153207216
605	2.153106689
606	2.15305323
607	2.153010533
608	2.152887641
609	2.152788754
610	2.152725351
611	2.152680637
612	2.152640535
613	2.152561275
614	2.152510287
615	2.152406177
616	2.152356014
617	2.152296975
618	2.152246928
619	2.152187176
620	2.152138428
621	2.152051931
622	2.151982116
623	2.151933836
624	2.151871355
625	2.151757865
626	2.151704254
627	2.151616675
628	2.151531815
629	2.151494414
630	2.15142825
631	2.15132326
632	2.151275912
633	2.151178254
634	2.151107345
635	2.151064254
636	2.150962087
637	2.150934148
638	2.150878977
639	2.150743768
640	2.150668583
641	2.150568765
642	2.150472614
643	2.150409024
644	2.15035834
645	2.150262062
646	2.150191004
647	2.15012255
648	2.150001388
649	2.149940864
650	2.149912555
651	2.149858188
652	2.14982135
653	2.14969638
654	2.149633952
655	2.149544156
656	2.149486699
657	2.149374506
658	2.149302116
659	2.149199273
660	2.14917676
661	2.149091804
662	2.148992032
663	2.148913704
664	2.148813212
665	2.148769839
666	2.148728715
667	2.148613401
668	2.14854383
669	2.148437039
670	2.148406814
671	2.148357506
672	2.148327398
673	2.148240749
674	2.148168083
675	2.14806815
676	2.148009112
677	2.147936913
678	2.147875857
679	2.147804365
680	2.147739154
681	2.147651769
682	2.147585487
683	2.147496199
684	2.147411531
685	2.147352713
686	2.147316899
687	2.147223093
688	2.147139127
689	2.147097972
690	2.146972607
691	2.146868466
692	2.146765981
693	2.146724345
694	2.146692198
695	2.146639647
696	2.146543439
697	2.146519357
698	2.146441413
699	2.146355043
700	2.146326925
701	2.146227024
702	2.146133882
703	2.146073723
704	2.146035159
705	2.14596859
706	2.145884337
707	2.145806014
708	2.1457195
709	2.145641883
710	2.145590375
711	2.1455429
712	2.145457325
713	2.14542599
714	2.145348363
715	2.14528106
716	2.145197255
717	2.145147516
718	2.1450605
719	2.144988202
720	2.144932642
721	2.144860577
722	2.144799314
723	2.144679869
724	2.14463285
725	2.144599128
726	2.144582267
727	2.144530258
728	2.144468748
729	2.144406286
730	2.144319834
731	2.14425333
732	2.144225659
733	2.144125542
734	2.14406022
735	2.144004635
736	2.143943704
737	2.143912941
738	2.143884078
739	2.143811383
740	2.143788102
741	2.143734648
742	2.14370994
743	2.143675016
744	2.143619065
745	2.143529492
746	2.14342958
747	2.143305901
748	2.143280238
749	2.143217385
750	2.143112349
751	2.143029885
752	2.142995781
753	2.142948606
754	2.142870414
755	2.142815273
756	2.142747178
757	2.142692272
758	2.142654122
759	2.142586022
760	2.142545136
761	2.142516968
762	2.14247204
763	2.14238349
764	2.142295054
765	2.14219449
766	2.142128515
767	2.142063726
768	2.141997865
769	2.141982886
770	2.141905609
771	2.141868278
772	2.141796348
773	2.14174118
774	2.141653312
775	2.141594098
776	2.141516688
777	2.141438206
778	2.141383386
779	2.141288368
780	2.141234614
781	2.141160879
782	2.141094752
783	2.141022677
784	2.140969154
785	2.140940133
786	2.140869242
787	2.140823328
788	2.140780268
789	2.14073685
790	2.140631217
791	2.140576613
792	2.140513324
793	2.140452294
794	2.140367705
795	2.140298579
796	2.14019923
797	2.140075603
798	2.139984454
799	2.139911032
800	2.139872595
801	2.139810951
802	2.139746568
803	2.139699321
804	2.139618868
805	2.139587805
806	2.139551385
807	2.139451525
808	2.139418079
809	2.139331187
810	2.139247863
811	2.139187511
812	2.139091919
813	2.139034539
814	2.138965132
815	2.138894771
816	2.138820955
817	2.138764758
818	2.138678792
819	2.138594847
820	2.138517806
821	2.138482797
822	2.138434688
823	2.138362047
824	2.138310601
825	2.138214733
826	2.138169357
827	2.138103138
828	2.138058356
829	2.13795128
830	2.137890534
831	2.137788452
832	2.137715432
833	2.13764217
834	2.137556874
835	2.137472647
836	2.137396995
837	2.137353389
838	2.137319076
839	2.137276541
840	2.137229716
841	2.137122241
842	2.137019884
843	2.136952677
844	2.136927414
845	2.136854245
846	2.136818732
847	2.136757119
848	2.136721247
849	2.136609694
850	2.136533892
851	2.136448194
852	2.136407668
853	2.136354864
854	2.136319581
855	2.136249371
856	2.13619108
857	2.136129568
858	2.136076877
859	2.13602466
860	2.136001652
861	2.13594538
862	2.135895426
863	2.135809226
864	2.135736853
865	2.135713126
866	2.135673063
867	2.135622148
868	2.13551185
869	2.135408581
870	2.135360165
871	2.135293143
872	2.135258201
873	2.135229221
874	2.1351938
875	2.135151104
876	2.135060222
877	2.134974226
878	2.134910652
879	2.134844451
880	2.134822622
881	2.134789461
882	2.134698445
883	2.134654068
884	2.134588218
885	2.13456233
886	2.13450614
887	2.13443766
888	2.134373592
889	2.134295683
890	2.134219202
891	2.134188537
892	2.134157872
893	2.134082221
894	2.134023155
895	2.133939146
896	2.133923871
897	2.133862056
898	2.133786514
899	2.133735077
900	2.133686504
901	2.13360463
902	2.133550683
903	2.133500434
904	2.133449826
905	2.133439203
906	2.133363885
907	2.133324016
908	2.133212166
909	2.133167878
910	2.133103534
911	2.133090641
912	2.133003611
913	2.132960154
914	2.13290034
915	2.132858792
916	2.132793124
917	2.132750499
918	2.132737127
919	2.132723993
920	2.13268853
921	2.132602439
922	2.132566855
923	2.132533062
924	2.132477296
925	2.132405288
926	2.132345817
927	2.132288971
928	2.132237618
929	2.132222092
930	2.132182202
931	2.132125472
932	2.13210481
933	2.132024309
934	2.13200484
935	2.131974741
936	2.131917288
937	2.131844425
938	2.131770484
939	2.131702394
940	2.131645292
941	2.131582216
942	2.131507549
943	2.131411374
944	2.131313881
945	2.131258681
946	2.131195473
947	2.131148993
948	2.131070487
949	2.130978594
950	2.130928165
951	2.130896258
952	2.130860527
953	2.130782369
954	2.130721537
955	2.130659031
956	2.130583137
957	2.130523256
958	2.130457517
959	2.130410183
960	2.13034707
961	2.130262439
962	2.130196572
963	2.130178401
964	2.130068897
965	2.13001199
966	2.129937986
967	2.129856207
968	2.129791643
969	2.12973461
970	2.129665857
971	2.129604396
972	2.129567566
973	2.129481469
974	2.129426699
975	2.129379103
976	2.129293716
977	2.129205693
978	2.129140511
979	2.129108697
980	2.129041359
981	2.128985861
982	2.128895433
983	2.128861821
984	2.128780719
985	2.128702006
986	2.128598647
987	2.128544213
988	2.128430557
989	2.128387246
990	2.128292127
991	2.128192576
992	2.128080816
993	2.128024335
994	2.127971323
995	2.127934106
996	2.127894614
997	2.127856439
998	2.127834538
999	2.127801747
1000	2.127712586
1001	2.127655736
1002	2.12759314
1003	2.127548017
1004	2.127498943
1005	2.127462436
1006	2.127387744
1007	2.127352193
1008	2.127275462
1009	2.127200525
1010	2.127155872
1011	2.12707279
1012	2.127013528
1013	2.126963843
1014	2.12693068
1015	2.1268865
1016	2.126808556
1017	2.12673863
1018	2.126658525
1019	2.126627631
1020	2.126592546
1021	2.126544768
1022	2.12650549
1023	2.126417592
1024	2.126377593
1025	2.126350049
1026	2.126312923
1027	2.126247174
1028	2.126142976
1029	2.126039971
1030	2.126003439
1031	2.125960079
1032	2.12587108
1033	2.125826759
1034	2.125744343
1035	2.125669711
1036	2.125602623
1037	2.125489169
1038	2.125406261
1039	2.125368041
1040	2.125304299
1041	2.125272547
1042	2.125222821
1043	2.125164107
1044	2.125059138
1045	2.125003056
1046	2.124946253
1047	2.124838397
1048	2.124775957
1049	2.124684871
1050	2.124631656
1051	2.124554947
1052	2.124477636
1053	2.124395647
1054	2.124354532
1055	2.124291838
1056	2.124250241
1057	2.124194498
1058	2.124153139
1059	2.124075453
1060	2.124027738
1061	2.123979062
1062	2.123895735
1063	2.123816722
1064	2.123744899
1065	2.123677631
1066	2.123640699
1067	2.123614678
1068	2.123560597
1069	2.123503636
1070	2.123428085
1071	2.123407338
1072	2.12335565
1073	2.123308518
1074	2.123245194
1075	2.123152363
1076	2.123102348
1077	2.123039378
1078	2.122995477
1079	2.1228904
1080	2.122874446
1081	2.12278088
1082	2.122692587
1083	2.122652758
1084	2.122573818
1085	2.122514192
1086	2.122437646
1087	2.122368657
1088	2.122317063
